'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0007f9c5-a0f0-438b-90bd-64709f3d7e4f', '4100_3', 60, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('006c0b8b-1bb3-44c7-a30f-cd53924d3544', '4013', 81, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('02904dd7-fa63-461f-b209-5791d55b373d', '3004', 21, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('04a244b0-3dc4-4553-8caa-03bcfea2168b', '5044', 94, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('055ea616-10f7-41c8-bcce-03d2bba303c4', '3204', 56, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('05655640-4316-443a-abed-cd38114c8bf8', '2226', 44, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('057055a4-5da1-4f5d-9c90-a08753393438', '3221', 52, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('062d44f8-13b7-4fbc-9b51-4e1de4bf04ff', '4228', 1, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0777ffe3-dd80-441c-8cce-c339b0ca3d57', '5224', 35, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0853bd70-7575-407e-9ec1-5c0ba9e3111b', '2100_9', 38, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0868d4c9-5f26-46b6-9b7c-78ce13979c65', '2069', 50, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('09e6307c-9c60-4b65-b697-425ad8fe5c1e', '5051', 36, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0a5d51bf-4b58-4bc4-b45f-c16f0b08babd', '3209', 15, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0a720d1f-d76d-41a1-aab9-112a0a095422', '3222', 87, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0b35420c-c243-489c-81ef-7fad1540b66a', '2061', 49, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0b5f22ba-8a87-4ba3-b8bb-ae5ee663b5fd', '3084', 100, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0cf858e3-6f41-4cbe-b722-74b4cd16c602', '4100_8', 100, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0e22b50e-c45e-4d03-a353-b5752cc52da8', '3231', 5, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0e6d5996-282e-436b-9466-d5c3e540c5cc', '1100', 26, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('0e8c7c33-8db9-47ef-b79e-5cf46eeca45a', '3065', 51, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1153aab7-868d-4592-9707-32167422dc49', '1434', 96, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('130db5bf-77b0-4a0a-ae94-398d86bfe29b', '5026', 0, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1370a289-c7f3-41d3-b1a8-fdf50379f003', '5028', 20, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1396a6a9-1bce-4888-b78e-0825c789aca5', '4234', 72, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1483a406-4f5a-4c64-8872-c0e5189b4c2c', '6036', 81, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('153340dd-9c98-4936-a541-1a9e9e28690e', '3243', 36, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('154371e5-a30b-424a-84e8-7c6ea467f6db', '2064', 26, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1594c242-f244-4678-9fad-257fcbaa0ca9', '3072', 5, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('16c453fa-f8a6-4a5b-8a83-d334f3693d9a', '3081', 89, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1847d9f3-2288-455c-a729-9fc5ab58d2a7', '5058', 15, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('19677dd7-f1f8-47c5-836e-8f957a91e95b', '4019', 1, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('19c5c1a7-29fc-420c-a617-1147056caa6d', '2074', 67, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1a03c1fa-4b89-4949-a2ec-17a0f10dd107', '4064', 92, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1aeba2c4-d71b-4df4-b5b6-5a172d82bad8', '6210', 23, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1b6688e1-23c9-442c-b9ed-6c659429749a', '5212', 6, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1c8381e3-3fd8-47eb-b6db-508532dc1803', '2062', 38, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1cd2883a-95e8-4b34-ab36-7ea9872cccf3', '4208', 93, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1cd90477-7285-4a0a-a41b-61e07f13bac9', '4039', 7, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1d8531df-a26a-4187-81f2-66b7cd27994f', '3029', 89, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1d8a7f18-ea67-4fdd-b6e4-e9210d105fae', '1425', 12, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1e11ab97-4a46-4354-bb6c-c7f98a45d167', '4028', 61, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1e6448ea-8502-4891-9719-df958aa782ae', '3100_9', 18, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1e770807-75d3-4475-9a98-63ffaf201b6f', '2241', 75, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1e81bb43-eb81-4714-b91c-bb142baf193d', '6026', 9, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('1f5a450e-dd23-4fc0-b451-ce42d0c53e52', '5100_2', 80, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('20c9f2b0-e35a-4311-a508-a6de383fbc53', '4224', 39, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('23409542-bbd5-4173-9ecc-d9b6a57907b5', '4002', 16, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('254edb0a-7df6-462c-8546-6e765215c4fb', '2221', 72, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('26698f0f-ce08-485c-9965-066749725827', '6062', 1, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('281faf9a-663e-4130-bf00-53dec44debc9', '4059', 40, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('28a56471-e401-4276-845a-7b111ed41947', '4100_5', 3, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('2902da22-637e-45bd-a98f-b437acf8af2f', '1413', 93, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('29c7eae4-5408-4f33-87fb-8496d241b1a9', '2019', 54, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('29e0ed62-d6c1-48ff-90af-d98a0fc66af4', '3042', 9, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('2a572abc-abcf-43ec-83e3-fc8309380b0e', '3232', 7, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('2acf8603-13e7-45f5-8984-1a3b1863a08b', '2076', 56, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('2b58921a-c1e1-43f6-bbd3-a115838b7492', '4211', 61, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('2de3732f-93cc-4450-a3a6-6c28726f468d', '6013', 38, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('2e322d87-43df-4dc2-93f6-fd56af052c77', '2058', 11, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('2f2e602f-e55d-4eab-a225-c4e32cbda4e5', '5231', 48, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('2fe5aa2f-6d6d-4e4c-a535-78d82643e0f0', '4091', 97, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('31dbc4e7-108a-4cf5-8cb8-71e7e4f5cf21', '5214', 48, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('31ed5a38-a69a-4555-ae8d-aa6957fef641', '2222', 13, '2017-11-08 00:00:00', 'vSensor2');
'2017-11-0800:00:00',INSERT INTO occupancy VALUES ('3477f510-38ba-4933-8407-0f8f683f9dbf', '2100_7', 79, '2017-11-08 00:00:00', 'vSensor2');
